date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:16	47084/47084	U-----	200	untouched ('')	image/jpeg	etag:%22b7ec-595f8d310e4c9%22	http://www.suzannecollinsbooks.com/images/Oppenheimer_Platinum-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Oppenheimer_Platinum-x_small.jpg	(from http://www.suzannecollinsbooks.com/year_of_the_jungle_119468.htm)
13:14:16	5300/5300	U-----	200	untouched ('')	image/jpeg	etag:%2214b4-595f8d310f469%22	http://www.suzannecollinsbooks.com/images/award_silver-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/award_silver-x_small.jpg	(from http://www.suzannecollinsbooks.com/year_of_the_jungle_119468.htm)
13:14:16	24883/24883	U-----	200	untouched ('')	image/jpeg	etag:%226133-595f8d3114289%22	http://www.suzannecollinsbooks.com/images/CatchingFireMovieTieInCover-197x300-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/CatchingFireMovieTieInCover-197x300-x_small.jpg	(from http://www.suzannecollinsbooks.com/catching_fire_88086.htm)
13:14:17	67056/67056	U-----	200	untouched ('')	image/jpeg	etag:%22105f0-595f8d311afea%22	http://www.suzannecollinsbooks.com/images/The-Hunger-Games-Movie-Tie-In-Edition-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/The-Hunger-Games-Movie-Tie-In-Edition-x_small.jpg	(from http://www.suzannecollinsbooks.com/the_hunger_games_69765.htm)
13:14:17	9470/9470	U-----	200	untouched ('')	image/jpeg	etag:%2224fe-595f8d3124c2b%22	http://www.suzannecollinsbooks.com/images/notable-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/notable-x_small.jpg	(from http://www.suzannecollinsbooks.com/the_hunger_games_69765.htm)
13:14:17	21426/21426	U-----	200	untouched ('')	image/jpeg	etag:%2253b2-595f8d311810a%22	http://www.suzannecollinsbooks.com/images/Gregor_1_Cover-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Gregor_1_Cover-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_the_overlander_48384.htm)
13:14:17	16552/16552	U-----	200	untouched ('')	image/jpeg	etag:%2240a8-595f8d3120daa%22	http://www.suzannecollinsbooks.com/images/The_Underland_Chronicles_-_Gregor_the_Overlander--HB-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/The_Underland_Chronicles_-_Gregor_the_Overlander--HB-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_the_overlander_48384.htm)
13:14:17	45056/45056	U-----	200	untouched ('')	application/msword	etag:%22b000-595f8d313e26d%22	http://www.suzannecollinsbooks.com/attachments/Award_nominatio.doc	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/attachments/Award_nominatio.doc	(from http://www.suzannecollinsbooks.com/gregor_the_overlander_48384.htm)
13:14:18	20793/20793	U-----	200	untouched ('')	image/jpeg	etag:%225139-595f8d310b5e9%22	http://www.suzannecollinsbooks.com/images/Gregor_2_Cover-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Gregor_2_Cover-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_and_the_prophecy_of_bane_48385.htm)
13:14:18	11344/11344	U-----	200	untouched ('')	image/jpeg	etag:%222c50-595f8d31096a9%22	http://www.suzannecollinsbooks.com/images/The_Underland_Chronciles-Gregor_and_the_Prophecy_of_Bane-_HB-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/The_Underland_Chronciles-Gregor_and_the_Prophecy_of_Bane-_HB-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_and_the_prophecy_of_bane_48385.htm)
13:14:18	14580/14580	U-----	200	untouched ('')	image/jpeg	etag:%2238f4-595f8d3120daa%22	http://www.suzannecollinsbooks.com/images/The_Underland_Chronicles-Gregor_and_the_Curse_of_the_Warmbloods-HB-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/The_Underland_Chronicles-Gregor_and_the_Curse_of_the_Warmbloods-HB-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_and_the_curse_of_the_warmbloods_48386.htm)
13:14:18	20938/20938	U-----	200	untouched ('')	image/jpeg	etag:%2251ca-595f8d31161ca%22	http://www.suzannecollinsbooks.com/images/Gregor3_Cover-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Gregor3_Cover-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_and_the_curse_of_the_warmbloods_48386.htm)
13:14:18	218543/218543	U-----	200	untouched ('')	image/jpeg	etag:%22355af-595f8d311a04a%22	http://www.suzannecollinsbooks.com/images/Giv_cover--fron-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Giv_cover--fron-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_and_the_marks_of_secret_48393.htm)
13:14:18	66914/66914	U-----	200	untouched ('')	image/jpeg	etag:%2210562-595f8d3112349%22	http://www.suzannecollinsbooks.com/images/Oppenheim_Gold-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Oppenheim_Gold-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_and_the_curse_of_the_warmbloods_48386.htm)
13:14:19	42993/42993	U-----	200	untouched ('')	image/jpeg	etag:%22a7f1-595f8d311bf8a%22	http://www.suzannecollinsbooks.com/images/Gregorfivecover-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Gregorfivecover-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_and_the_code_of_claw_48394.htm)
13:14:19	17079/17079	U-----	200	untouched ('')	image/jpeg	etag:%2242b7-595f8d31096a9%22	http://www.suzannecollinsbooks.com/images/Gregor_4_Cover-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Gregor_4_Cover-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_and_the_marks_of_secret_48393.htm)
13:14:19	19163/19163	U-----	200	untouched ('')	image/jpeg	etag:%224adb-595f8d31067c8%22	http://www.suzannecollinsbooks.com/images/Gregor_5_Cover-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Gregor_5_Cover-x_small.jpg	(from http://www.suzannecollinsbooks.com/gregor_and_the_code_of_claw_48394.htm)
13:14:19	58311/58311	U-----	200	untouched ('')	image/jpeg	etag:%22e3c7-595f8d3107769%22	http://www.suzannecollinsbooks.com/images/SuzanneCollinsAug09byCapPryor_color-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/SuzanneCollinsAug09byCapPryor_color-x_small.jpg	(from http://www.suzannecollinsbooks.com/bio.htm)
13:14:19	31783/31783	U-----	200	untouched ('')	image/jpeg	etag:%227c27-595f8d3122ceb%22	http://www.suzannecollinsbooks.com/images/Rat_and_me-x_small.jpg	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/images/Rat_and_me-x_small.jpg	(from http://www.suzannecollinsbooks.com/events.htm)
13:14:20	1098/1098	U-----	200	untouched ('')	image/png	etag:%2244a-595f8d313f20d%22	http://www.suzannecollinsbooks.com/theme/menu-bars-white.png	C:/Users/Jakob/Downloads/_Downloaded%20Sites/suzannecollinsbooks/www.suzannecollinsbooks.com/theme/menu-bars-white.png	(from http://www.suzannecollinsbooks.com/theme/theme.css)
